INFO     IlCarro:base_page.py:24 Переходим по ссылке: https://icarro-v1.netlify.app/search?page=0&size=10
INFO     IlCarro:base_page.py:36 Кликаем по элементу: ('id', 'dates')
INFO     IlCarro:base_page.py:55 Проверяем видимость элемента: ('css selector', '.daterange-popover')
INFO     IlCarro:base_page.py:74 Получаем текст из элемента: ('css selector', '.rdrMonthPicker option:checked')
INFO     IlCarro:base_page.py:29 Ищем элемент: ('css selector', '.rdrMonthPicker option:checked')
INFO     IlCarro:base_page.py:36 Кликаем по элементу: ('css selector', '.rdrNextButton')
INFO     IlCarro:base_page.py:74 Получаем текст из элемента: ('css selector', '.rdrMonthPicker option:checked')
INFO     IlCarro:base_page.py:29 Ищем элемент: ('css selector', '.rdrMonthPicker option:checked')
INFO     IlCarro:base_page.py:74 Получаем текст из элемента: ('css selector', '.rdrMonthPicker option:checked')
INFO     IlCarro:base_page.py:29 Ищем элемент: ('css selector', '.rdrMonthPicker option:checked')
INFO     IlCarro:base_page.py:36 Кликаем по элементу: ('css selector', '.rdrPprevButton')
INFO     IlCarro:base_page.py:74 Получаем текст из элемента: ('css selector', '.rdrMonthPicker option:checked')
INFO     IlCarro:base_page.py:29 Ищем элемент: ('css selector', '.rdrMonthPicker option:checked')
INFO     IlCarro:base_page.py:74 Получаем текст из элемента: ('css selector', '.rdrMonthPicker option:checked')
INFO     IlCarro:base_page.py:29 Ищем элемент: ('css selector', '.rdrMonthPicker option:checked')
