"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI Testing","0","Login Page","2","0","Negative Login - Backend Validation","0"
"0","UI Testing","0","Search Page","1","0","Search Cars Dynamic Flow","0"
"0","UI Testing","0","Registration Page","6","0","Negative Registration","0"
"0","UI Testing","0","Login Page","2","0","Negative Login - Frontend Validation","0"
"0","UI Testing","0","Registration Page","1","0","Positive Registration","0"
"0","UI Testing","0","Calendar Component","1","0","Calendar Navigation","0"
"0","UI Testing","0","Calendar Component","1","0","Calendar UI and Dismissal","0"
"0","UI Testing","0","Registration Page","1","0","Negative Registration - Checkbox","0"
"0","UI Testing","0","Registration Page","1","0","Navigation","0"
"0","UI Testing","0","Calendar Component","1","0","Negative Calendar UI - Past Dates Blocked","0"
"0","UI Testing","0","Login Page","1","0","Positive Login","0"
